company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
Blue River Technology,"Sunnyvale, California",Machine Learning Scientist,2019-07-26,"Excellent brainstorming, creative thinking, mathematical analysis, and communication skills. Strong skills in Python, Tensorflow. Extra: ...",https://www.linkedin.com/jobs/view/machine-learning-scientist-at-blue-river-technology-1380884294?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Blue River TechnologySunnyvale, California 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Blue River Technology is building the next generation of smart agriculture equipment. We're introducing See & Spray technology, enabling a world in which every plant counts. Using computer vision and artificial intelligence, our smart machines can detect, identify, and make management decisions about every single plant in the field. These machines help farmers to improve profitability, protects the environment by reducing pesticide use by 90%, and captures valuable plant-by-plant data.Acquired by John Deere in 2017 Blue River Technology as an independently-run subsidiary. Through our partnership with Deere, Blue River has expanded rapidly and together both companies see many opportunities to apply advanced computer vision, machine learning, and robotics technologies to other areas in agriculture beyond spraying. Based in Sunnyvale, CA Blue River Technology is at the heart of Silicon Valley. Our team members make up a diverse environment of folks who share the same passion for computer vision, machine learning, systems software, autonomous vehicles and precision agriculture. Our working environment is fast paced and highly collaborative, and employees are excited to use their talents to improve food production and protect the environment.     
  
 
Qualifications  
Education  
",Associate,Full-time,Engineering,"Machinery, Computer Software, Farming"
Edelman Financial Engines,"Sunnyvale, California",Machine Learning Scientist,2019-07-16,"2] The Top 40 Independent Advisory Firm Ranking issued by Barron’s is qualitative and quantitative, including assets managed, the size ...",https://www.linkedin.com/jobs/view/machine-learning-scientist-at-edelman-financial-engines-1332333772?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Edelman Financial EnginesSunnyvale, California 
If you are passionate about Machine Learning and keen to apply these technologies to the Financial Industry, come join us at Edelman Financial Engines (EFE) — America’s largest financial planning and investment management company. We have an immediate opening for a Machine Learning Scientist. Established upon Nobel Prize-winning economics theory and powered by cutting-edge technologies, EFE has been serving more than one million American families to achieve their financial goals. Working in this role and equipped with a vast amount of high-quality data, you have exciting opportunities to innovate our services and help further grow our business with Machine Learning technologies.  
   
RESPONSIBILITIES  
QUALIFICATIONS  
PREFERRED QUALIFICATIONS  
   
   
   
   
About Edelman Financial Engines  
Since 1986, Edelman Financial Engines has been committed to always acting in best interest of our clients.  We were founded on the belief that all American investors – not just the wealthy – deserve access to personalized, comprehensive financial planning and investment advice.  Today, we are America’s top independent financial planning and investment advisor, recognized by both InvestmentNews[1] and Barron’s[2] with 180+ planner offices across the country and entrusted by over 1.1 million clients to manage over $200 billion in assets.   Our unique approach to serving clients combines our advanced methodology and proprietary technology with the attention of a dedicated planner. Every client’s situation and goals are unique, and the powerful fusion of high-tech and high-touch allows Edelman Financial Engines to deliver the personal plan and financial confidence that everyone deserves.  
   
   
For more information, visit www.edelmanfinancialengines.com and www.financialengines.com.  
   
©2018 Edelman Financial Engines™, LLC All rights reserved. All advisory services provided by Financial Engines Advisors L.L.C. Financial Engines Advisors does not guarantee future results.  
[1] Ranking and status for 2017. For independence methodology and ranking, see InvestmentNews Center (http://data.investmentnews.com/ria/);  
[2] The Top 40 Independent Advisory Firm Ranking issued by Barron’s is qualitative and quantitative, including assets managed, the size and experience of teams, and the regulatory records of the advisers and firms. Firms elect to participate, but do not pay to be included in the ranking. Investor returns/experience are not considered. 2018 ranking refers to Edelman Financial Services (EFS), which combined its advisory business in its entirety with Financial Engines Advisors L.L.C. (FEA) in November 2018. For the same survey, FEA received a precombination ranking of twelfth.  
  
",Mid-Senior level,Full-time,Engineering,Financial Services
Signify,"Cambridge, MA, US",Principle Artificial Intelligence/Machine Learning Scientist (Director level),2019-08-05,"We are proud to be ahead of the game in the Internet of Things and on track to be carbon neutral by 2020. Our Philips products, Interact ...",https://www.linkedin.com/jobs/view/principle-artificial-intelligence-machine-learning-scientist-director-level-at-signify-1355294935?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"SignifyCambridge, MA, US 
",Associate,Full-time,Other,"Electrical/Electronic Manufacturing, Information Technology and Services, Consumer Electronics"
Kintai Therapeutics,"Cambridge, MA, US",Machine Learning Scientist,2019-07-16,"Significant research experience in machine learning, including demonstrated ability to develop novel methods and apply them to noisy, ...",https://www.linkedin.com/jobs/view/machine-learning-scientist-at-kintai-therapeutics-1374880379?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Kintai TherapeuticsCambridge, MA, US 
",Associate,Full-time,Other,Biotechnology
Salk Institute for Biological Studies,"La Jolla, CA, US",Machine Learning Scientist,2019-07-17,We seek an experienced Machine Learning Scientist to help us build data-driven biological models of neural and behavioral activity. The ...,https://www.linkedin.com/jobs/view/machine-learning-scientist-at-salk-institute-for-biological-studies-1377010596?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Salk Institute for Biological StudiesLa Jolla, CA, US 
",Associate,Full-time,Other,"Nonprofit Organization Management, Higher Education, Research"
TRC Professional Solutions,"Seattle, WA, US",Machine Learning Scientist,2019-08-04,"Prior work experience as a Data Scientist, BIE, Software or Data Engineer. Programming language skills in Python, Java, or Ruby. A ...",https://www.linkedin.com/jobs/view/machine-learning-scientist-at-trc-professional-solutions-1411793224?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"TRC Professional SolutionsSeattle, WA, US 
",Associate,Full-time,Other,"Electrical/Electronic Manufacturing, Machinery, Staffing and Recruiting"
Dun & Bradstreet,"Short Hills, New Jersey",Machine Learning Scientist,2019-07-31,"Strong programming skills and modeling experience utilizing Python, R and/ or SAS, Spark, PySpark. Strong SQL skills and experience ...",https://www.linkedin.com/jobs/view/machine-learning-scientist-at-dun-bradstreet-1404615037?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Dun & BradstreetShort Hills, New Jersey 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Why We Work at Dun & Bradstreet  
We are at a transformational moment in our company journey - and we’re so excited about it. Each day, we are finding new ways to strengthen our award-winning culture, and to accelerate creativity, innovation and growth. Our purpose is to help customers improve business performance with Dun & Bradstreet’s Data Cloud and Live Business Identity, and we’re wildly passionate and committed to this purpose. So, if you’re looking to make an immediate impact at a company that welcomes bold and diverse thinking, come join us!  
​   
As a Dir/Sr Consult, Predictive Analyticsin the Advanced Analytic Services Team, you will be required to have the following background education and experience and the ability to fulfill the following essential responsibilities.  We also list preferred qualifications that are not required but would be beneficial.    
  
Basic Requirements  
   
Essential Responsibilities  
   
Preferred Qualifications  
   
Dun & Bradstreet is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, age, national origin, citizenship status, disability status, sexual orientation, gender identity or expression, pregnancy, genetic information, protected military and veteran status, ancestry, marital status, medical condition (cancer and genetic characteristics) or any other characteristic protected by law.  
We are committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with Dun & Bradstreet and need special assistance or an accommodation to use our website or to apply for a position, please send an e-mail with your request to TalentAcquisitionTeam@dnb.com. Determination on requests for reasonable accommodation are made on a case-by-case basis. 
",Mid-Senior level,Full-time,Other,Information Services
PeopleTec,"Huntsville, AL, US",Machine Learning Scientist (1108988),2019-07-10,"Experience using log file analyzers and visualization tools such as Splunk, Elasticsearch, Logstash, and Kibana (ELK), both on premises ...",https://www.linkedin.com/jobs/view/machine-learning-scientist-1108988-at-peopletec-1412203267?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"PeopleTecHuntsville, AL, US 
",Associate,Full-time,Other,"Information Technology and Services, Defense & Space, Computer Software"
Freenome,"South San Francisco, CA, US",Machine Learning Scientist,2019-07-29,"With the combination of Freenome’s datasets, cross-functional technical expertise, and mission to uncover the biological truth, we seek ...",https://www.linkedin.com/jobs/view/machine-learning-scientist-at-freenome-1401947536?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"FreenomeSouth San Francisco, CA, US 
",Associate,Full-time,Other,"Computer Software, Research, Biotechnology"
"CENTRA Technology, Inc.","Boulder, CO, US",Machine Learning Scientist,2019-06-28,"We work at the interface of design, big data engineering, and math to help deliver epic entertainment experiences.We are looking for an ...",https://www.linkedin.com/jobs/view/machine-learning-scientist-at-centra-technology-inc-1389967641?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"CENTRA Technology, Inc.Boulder, CO, US 
",Associate,Full-time,Other,"Computer Software, Entertainment, Computer Games"
