company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
Hirewell,"Chicago, Illinois",Data Scientist,2019-07-29,"Extensive experience in use of visualization, machine learning and deep learning libraries (e.g., NumPy, SciPy, Pandas, Matplotlib, ...",https://www.linkedin.com/jobs/view/data-scientist-at-hirewell-1388352599?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"HirewellChicago, Illinois 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
",Mid-Senior level,Full-time,"Information Technology, Engineering, Science","Computer Software, Information Technology and Services, Building Materials"
Cypress HCM,Greater Omaha Area,Data Scientist,2019-08-01,2+ years of work experience providing analytical insights and business reports to product or business functions. 2+ years of experience ...,https://www.linkedin.com/jobs/view/data-scientist-at-cypress-hcm-1394605292?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Cypress HCMGreater Omaha Area 
Data Scientist  
  
Responsibilities:  
  
Basic Qualifications:  
  
Preferred Qualifications:  
",Associate,Contract,Engineering,Internet
Insightin | Health,"Baltimore, MD, US",Data Scientist,2019-07-28,"We’re looking for someone with 2+ years of experience manipulating data sets and building statistical models, has a Bachelor or Master’...",https://www.linkedin.com/jobs/view/data-scientist-at-insightin-health-1400526537?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Insightin | HealthBaltimore, MD, US 
",Entry level,Full-time,"Engineering, Information Technology","Marketing and Advertising, Information Technology and Services, Computer Software"
M9 Solutions,"Fort Meade, Maryland, United States",Data Scientist,2019-07-26,"Utilize technical and analytical skills to explore data from disparate sources with goal of discovering patterns and hidden insights, ...",https://www.linkedin.com/jobs/view/data-scientist-at-m9-solutions-1348494294?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"M9 SolutionsFort Meade, Maryland, United States 
 
",Not Applicable,Full-time,NA,NA
Frequence,"Mountain View, CA, US",Data Scientist - Advanced Media Data Analytics,2019-07-29,"Experience with AWS technologies like Redshift, S3, EC2, Athena, Data Pipeline, & EMR. Have strong, practical programming and scripting ...",https://www.linkedin.com/jobs/view/data-scientist-advanced-media-data-analytics-at-frequence-1401067438?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"FrequenceMountain View, CA, US 
",Entry level,Full-time,"Engineering, Information Technology","Marketing and Advertising, Computer Software, Internet"
Sprinklr,"New York City, NY, US",Data Scientist,2019-07-27,"We focus on our mission: We believe social technology is the future of customer-brand relations across all departments, and we seek to ...",https://www.linkedin.com/jobs/view/data-scientist-at-sprinklr-1397602359?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"SprinklrNew York City, NY, US 
",Entry level,Full-time,"Engineering, Information Technology","Marketing and Advertising, Information Technology and Services, Computer Software"
"Fetch Rewards, Inc.","Chicago, IL, US",Data Scientist,2019-07-26,"Our vision is to leverage technology to transform shopping into an engaging, rewarding, and delightful experience, ultimately propelling ...",https://www.linkedin.com/jobs/view/data-scientist-at-fetch-rewards-inc-1395443360?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Fetch Rewards, Inc.Chicago, IL, US 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
",Entry level,Full-time,"Engineering, Information Technology","Information Technology and Services, Computer Software, Internet"
Addison Group,"Irving, TX, US",Data Scientist,2019-07-27,"This role is responsible for modeling complex decision problems, discovering actionable insights and identifying opportunities through ...",https://www.linkedin.com/jobs/view/data-scientist-at-addison-group-1383680518?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Addison GroupIrving, TX, US 
",Entry level,Full-time,Information Technology,Staffing and Recruiting
OM1 S.r.l.,"Boston, MA, US",Data Scientist,2019-07-25,We are seeking a Data Scientist to be part of the team which is responsible for developing and deploying the Artificial Intelligence ...,https://www.linkedin.com/jobs/view/data-scientist-at-om1-s-r-l-1393538740?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"OM1 S.r.l.Boston, MA, US 
",Entry level,Full-time,"Engineering, Information Technology","Information Technology and Services, Computer Software, Hospital & Health Care"
BAMM,"Manhattan, New York, United States",Data Scientist,2019-07-16,"We’re looking for an ambitious data and statistics specialist, with 2-3 years’ experience, who’s eager to apply data science ...",https://www.linkedin.com/jobs/view/data-scientist-at-bamm-1334241544?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"BAMMManhattan, New York, United States 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
 
In order to be considered for this position please send a copy of your CV/Resume and Cover Letter, along with two professional references to jobs@bammnewyork.com. The deadline to apply is August 16th, 2019. 
 
About BAMM: 
Based in NYC and London, BAMM fuels Brand Momentum by pushing at the boundaries of research – developing new methodologies, speaking with unexpected people, asking surprising questions and incorporating the latest technology into our work. We draw from a deep appreciation of commercial strategy, the latest thinking on marketing and the social sciences. 
 
Your Role: 
BAMM has an opportunity for a Data Scientist to join our growing New York office. We’re looking for an ambitious data and statistics specialist, with 2-3 years’ experience, who’s eager to apply data science approaches to big, strategic insights projects for the world’s leading brands, and for the freedom and support to help us build a robust, innovative, industry-leading data science practice. 
This role offers the opportunity to work across big brands on big strategic questions, and to work with a collaborative, multi-disciplinary team of ethnographers, photojournalists, cultural anthropologists, survey builders, behavioral scientists, and strategists.  
We’re looking for candidates who have the energy and desire to innovate, who want a new set of client challenges to solve, and who are interested in combining data-led techniques with leading edge ethnography and behavioral science. We will provide the space, support and culture to help ensure success. 
 
Your Responsibilities:  
 
Qualified candidates will have: 
 
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. 
",Entry level,Full-time,"Engineering, Information Technology",Research
